expected,predicted,edgeid,term,closests_zero,closests_one,n_zeros,n_ones,tree
0,0.4550768040198718,26,GO:0001730,2,5,5,9,PTHR11258-1
1,0.43882710092187,29,GO:0001730,4,4,5,9,PTHR11258-1
1,0.4442926457781597,34,GO:0001730,4,4,5,9,PTHR11258-1
1,0.6015983510382341,36,GO:0001730,9,9,5,9,PTHR11258-1
1,0.7008937112082042,44,GO:0001730,17,6,5,9,PTHR11258-1
1,0.7028618575019642,48,GO:0001730,15,6,5,9,PTHR11258-1
1,0.6940070689976103,56,GO:0001730,17,6,5,9,PTHR11258-1
1,0.6924086753114923,60,GO:0001730,15,6,5,9,PTHR11258-1
0,0.7667303549165161,10,GO:0001580,13,13,5,19,PTHR11394-1
0,0.7541647982891392,20,GO:0001580,13,14,5,19,PTHR11394-1
1,0.7212703271726357,30,GO:0001580,13,10,5,19,PTHR11394-1
1,0.7370525410421388,41,GO:0001580,13,10,5,19,PTHR11394-1
1,0.766652176937753,51,GO:0001580,14,12,5,19,PTHR11394-1
1,0.7632057854929611,74,GO:0001580,8,8,5,19,PTHR11394-1
1,0.7849435089628117,79,GO:0001580,6,4,5,19,PTHR11394-1
1,0.7844672631957292,82,GO:0001580,6,4,5,19,PTHR11394-1
0,0.8804862705204387,85,GO:0001580,9,6,5,19,PTHR11394-1
1,0.7652584132918161,88,GO:0001580,8,8,5,19,PTHR11394-1
0,0.8289299992894301,99,GO:0001580,9,9,5,19,PTHR11394-1
1,0.7708884431900558,104,GO:0001580,8,8,5,19,PTHR11394-1
0,0.8286814907070406,129,GO:0001580,13,10,5,19,PTHR11394-1
1,0.7967074785580633,140,GO:0001580,10,10,5,19,PTHR11394-1
1,0.7818397838076748,148,GO:0001580,12,9,5,19,PTHR11394-1
1,0.7812454774339255,159,GO:0001580,13,9,5,19,PTHR11394-1
1,0.7708278292692857,187,GO:0001580,12,10,5,19,PTHR11394-1
1,0.778081427213953,205,GO:0001580,14,12,5,19,PTHR11394-1
1,0.7606651175216326,217,GO:0001580,15,13,5,19,PTHR11394-1
1,0.7931953847957137,233,GO:0001580,14,9,5,19,PTHR11394-1
1,0.7726507353101048,238,GO:0001580,15,9,5,19,PTHR11394-1
1,0.7226821933257436,253,GO:0001580,19,15,5,19,PTHR11394-1
1,0.7280493843478545,265,GO:0001580,20,12,5,19,PTHR11394-1
1,0.7429036879504963,275,GO:0001580,20,12,5,19,PTHR11394-1
0,0.7878019491567881,10,GO:0033038,13,10,5,21,PTHR11394-2
0,0.7808610137437346,20,GO:0033038,13,11,5,21,PTHR11394-2
1,0.6983135695818057,30,GO:0033038,13,11,5,21,PTHR11394-2
1,0.7893256717284157,51,GO:0033038,14,10,5,21,PTHR11394-2
1,0.7742196409900903,74,GO:0033038,8,8,5,21,PTHR11394-2
1,0.7942516958939534,79,GO:0033038,6,4,5,21,PTHR11394-2
1,0.805354640266875,82,GO:0033038,6,4,5,21,PTHR11394-2
0,0.8896838349274139,85,GO:0033038,9,6,5,21,PTHR11394-2
1,0.7669543700488661,88,GO:0033038,8,8,5,21,PTHR11394-2
0,0.834368845009886,99,GO:0033038,9,9,5,21,PTHR11394-2
1,0.7633066230570185,104,GO:0033038,8,8,5,21,PTHR11394-2
0,0.8261737240352709,129,GO:0033038,13,10,5,21,PTHR11394-2
1,0.8091378545520757,140,GO:0033038,10,10,5,21,PTHR11394-2
1,0.7989829375695661,148,GO:0033038,12,9,5,21,PTHR11394-2
1,0.7846576939877232,159,GO:0033038,13,9,5,21,PTHR11394-2
1,0.7802843221809992,187,GO:0033038,12,10,5,21,PTHR11394-2
1,0.7898284247229401,205,GO:0033038,14,10,5,21,PTHR11394-2
1,0.7732436559000421,217,GO:0033038,15,11,5,21,PTHR11394-2
1,0.8091940112039708,233,GO:0033038,14,9,5,21,PTHR11394-2
1,0.7989836102594524,238,GO:0033038,15,9,5,21,PTHR11394-2
1,0.7346712710642087,252,GO:0033038,10,6,5,21,PTHR11394-2
1,0.7609442536305759,253,GO:0033038,19,11,5,21,PTHR11394-2
1,0.7605038338096318,265,GO:0033038,20,12,5,21,PTHR11394-2
1,0.7662033193786987,275,GO:0033038,20,12,5,21,PTHR11394-2
1,0.8908483567974734,286,GO:0033038,14,2,5,21,PTHR11394-2
1,0.8931619785141507,287,GO:0033038,14,2,5,21,PTHR11394-2
0,0.2642463295404445,3,GO:0001618,6,23,5,1,PTHR11769-1
0,0.2740303215445077,7,GO:0001618,6,21,5,1,PTHR11769-1
0,0.25116020334740025,51,GO:0001618,6,20,5,1,PTHR11769-1
0,0.23553513428794762,55,GO:0001618,6,18,5,1,PTHR11769-1
1,0.18638245162074762,85,GO:0001618,6,NA,5,1,PTHR11769-1
0,0.5059594809689899,89,GO:0001618,16,6,5,1,PTHR11769-1
0,0.526436083293753,3,GO:0004415,19,20,4,4,PTHR11769-2
1,0.7000047581378764,32,GO:0004415,17,4,4,4,PTHR11769-2
1,0.717229535242526,34,GO:0004415,17,4,4,4,PTHR11769-2
1,0.5596218876879536,37,GO:0004415,18,9,4,4,PTHR11769-2
0,0.38552993038312505,51,GO:0004415,6,17,4,4,PTHR11769-2
0,0.37833768880334434,55,GO:0004415,6,15,4,4,PTHR11769-2
1,0.39720410869273554,72,GO:0004415,15,18,4,4,PTHR11769-2
0,0.5185089552735024,85,GO:0004415,18,19,4,4,PTHR11769-2
1,0.2933572849191699,85,GO:0031362,6,NA,1,1,PTHR11769-3
0,0.6549816986225836,89,GO:0031362,NA,6,1,1,PTHR11769-3
0,0.0799277578452898,103,GO:0033946,2,11,5,1,PTHR31062-1
0,0.09511122220453476,104,GO:0033946,2,11,5,1,PTHR31062-1
0,0.08081456839223275,107,GO:0033946,2,11,5,1,PTHR31062-1
0,0.08308718839847963,109,GO:0033946,2,11,5,1,PTHR31062-1
0,0.0892251627568787,110,GO:0033946,2,11,5,1,PTHR31062-1
1,0.2918316766829341,213,GO:0033946,11,NA,5,1,PTHR31062-1
