UniProtKB,go_id,p0_025,p0_500,p0_975,qualifier_binary,go_evidence_code,qualifier_proposed,opposing
H6QSI6,GO:0007019,0.924594945826039,0.959950134969361,0.983239134925875,1,IBA,YES,FALSE
H9G4Z2,GO:0004867,0.929623287133859,0.969940674296029,0.987147347669314,1,"IBA,IEA",YES,FALSE
H9G6K0,GO:0004571,0.916083185178289,0.959816028046591,0.978750898430732,1,"IEA,IEA,IEA",YES,FALSE
H9H3Z4,GO:0005730,0.929681408053868,0.965232197134732,0.983457515819687,1,"IEA,IEA,IEA",YES,FALSE
I1HLP7,GO:0051014,0.0227320628408549,0.0492943315350592,0.0957474555616814,,,NOT,FALSE
M0R6Q9,GO:0006744,0.904684183915266,0.95489251580494,0.980389371692677,1,"IBA,ISO,ISO,IEA,IEA",YES,FALSE
O35425,GO:0043065,0.925852452791537,0.969380817553862,0.984628633953594,1,"ISO,ISO,IEA,IEA",YES,FALSE
O35684,GO:0004867,0.929250335889775,0.972054017234888,0.988036569790699,1,"IBA,IEA,ISO,ISO,IEA,IEA",YES,FALSE
O70423,GO:0008131,0.928993799314868,0.974311092154867,0.989124307294208,1,"IEA,IEA,ISO,IEA,ISS",YES,FALSE
P0CO42,GO:0004017,0.902514685021307,0.954153740202279,0.97871743949277,1,"IEA,IEA,IBA,IEA,IEA,IEA",YES,FALSE
P38438,GO:0050431,0.907936253729552,0.962442646288043,0.98477586991782,1,"IBA,ISO,ISO,ISO,IEA,IEA",YES,FALSE
P49134,GO:0007179,0.0221888267321985,0.0534873321083613,0.0988415300461285,0,"ISO,ISO",NOT,FALSE
P51656,GO:0004303,0.923280930055263,0.964297131017147,0.982870543013244,1,"IDA,IEA,IEA,ISO,ISO,IEA",YES,FALSE
Q0V3D5,GO:0004017,0.913811104906878,0.959621501306487,0.982389735008648,1,"IBA,IEA,IEA,IEA",YES,FALSE
Q0V721,GO:0007019,0.924695681611802,0.962008541821786,0.983369663673684,1,IBA,YES,FALSE
Q1WNP3,GO:0004303,0.918751885570491,0.962613757918507,0.982174395270246,1,"IEA,IEA,IEA",YES,FALSE
Q4PCS5,GO:0004017,0.902514685021307,0.954153740202279,0.97871743949277,1,"IEA,IEA,IBA,IEA,IEA,IEA",YES,FALSE
Q4WI43,GO:0007019,0.943269251016607,0.972330505329052,0.988589331139336,1,IBA,YES,FALSE
Q4WJ21,GO:0004017,0.93588029138594,0.971193047052808,0.986922407193113,1,"IBA,IEA,IEA,IEA",YES,FALSE
Q5A4Q1,GO:0004017,0.9318028811551,0.969740068293626,0.986544508775803,1,"IBA,IEA,IEA,IEA",YES,FALSE
Q5BKQ4,GO:0005615,0.0235959922035066,0.0518063026473241,0.08441438928278,1,ISO,NOT,FALSE
Q5EAN7,GO:0031848,0.0298744606195554,0.0582336761579502,0.0997919058635298,0,"ISS,ISO",NOT,FALSE
Q5KPT5,GO:0007019,0.924594945826039,0.959950134969361,0.983239134925875,1,IBA,YES,FALSE
Q5MYU0,GO:0001730,0.905450806121876,0.950754996797092,0.975889028729072,1,"IBA,ISS,ISS,IEA,IEA,ISO,ISO",YES,FALSE
Q61247,GO:0004867,0.915669166014406,0.964841615327271,0.982484287183637,1,"IBA,IEA,IEA,ISO,ISO,IEA",YES,FALSE
Q645T3,GO:0001580,0.91031457676136,0.951115345126744,0.973539737849626,1,IBA,YES,FALSE
Q645T3,GO:0033038,0.903586669521348,0.953639859262529,0.9741401339346,1,IBA,YES,FALSE
Q645T6,GO:0001580,0.91031457676136,0.951115345126744,0.973539737849626,1,IBA,YES,FALSE
Q645T6,GO:0033038,0.903586669521348,0.953639859262529,0.9741401339346,1,IBA,YES,FALSE
Q646A1,GO:0001580,0.915236994660849,0.951666700748364,0.973184222231552,1,"IBA,IEA",YES,FALSE
Q646A1,GO:0033038,0.901196927195048,0.953848377985048,0.973926407558288,1,"IBA,IEA",YES,FALSE
Q6C6P8,GO:0007019,0.932383250205849,0.965051093697975,0.984552308635466,1,IBA,YES,FALSE
