id,go_id,p0_025,p0_500,p0_975,Qualifier,Go_Evidence_Code,annotation
F6V9T3,GO:0015280,0.93650771666179,0.970881118664142,0.988104398687305,,,YES
F6VQ01,GO:0004867,0.901788135384896,0.954041882300496,0.975688387734012,,,YES
F6W6H1,GO:0005886,0.927672353697107,0.964112795061425,0.98337446113908,,,YES
F6XE16,GO:0004867,0.918109133649869,0.963458485756989,0.982273211093708,,,YES
F6XUP1,GO:0004672,0.926248853684228,0.966427134215067,0.982923513878147,,,YES
F6Y5D7,GO:0004867,0.945231002362377,0.976637741478003,0.989263398046161,,,YES
F6YCT2,GO:0008543,0.920431833656011,0.965218891097675,0.984517527807506,,,YES
F6YP84,GO:0005229,0.919138918594179,0.959050959747343,0.980062722008446,,,YES
F7A3T9,GO:0015280,0.93650771666179,0.970881118664142,0.988104398687305,,,YES
F7ADR9,GO:0004571,0.922154316930488,0.961795446091022,0.982655505199861,,,YES
F7AGS1,GO:0043065,0.911253783916257,0.959548272180773,0.98372277217752,,,YES
F7AI08,GO:0005544,0.900241086157875,0.939266094778898,0.965535196158384,,,YES
F7AVX9,GO:0003876,0.92019784852659,0.956217547348342,0.979344892016603,,,YES
F7B4Z3,GO:0005229,0.930166142699683,0.963621041202481,0.983631548511328,,,YES
F7BTD3,GO:0004867,0.924892706521858,0.963401341959163,0.980207604913239,,,YES
F7C1N5,GO:0004867,0.930852899221431,0.972891394624434,0.987921011826133,,,YES
F7CA57,GO:0005229,0.0246616603610368,0.051686190333762,0.094928196085734,,,NOT
F7CJ66,GO:0004867,0.929157607650377,0.970848391761773,0.985507270413248,,,YES
F7CWH6,GO:0043065,0.909184755030651,0.957199691674201,0.982877026382081,,,YES
F7DDC0,GO:0004867,0.900671094723963,0.951633397114984,0.97869210100171,,,YES
F7DM14,GO:0004713,0.901100990914945,0.945038337085921,0.974160476512492,,,YES
F7E5Q7,GO:0004571,0.900052916499023,0.947222103456652,0.973467962637017,,,YES
F7ECD2,GO:0015280,0.905205166891675,0.953173460048252,0.978367017744127,,,YES
F7EL68,GO:0004867,0.921685565760462,0.965814790265475,0.982927324298941,,,YES
F7ERZ3,GO:0004867,0.90432877256481,0.954764405613661,0.976104667057541,,,YES
F7EUQ4,GO:0043149,0.0263358906400477,0.0536897194086908,0.0937857837514875,,,NOT
F7F4G6,GO:0004867,0.925424222478469,0.963750982557139,0.980372365635837,,,YES
F7FBX2,GO:0006476,0.908208618438331,0.958423151330182,0.982738289153575,,,YES
F7FJJ0,GO:0045893,0.905934230729331,0.958865611321141,0.979791242447546,,,YES
F7FLY6,GO:0004867,0.929978262942446,0.971420518983014,0.986193243225154,,,YES
F7FWA0,GO:0005229,0.0252584440107859,0.0538919452197435,0.0978018027980701,,,NOT
F7G3X1,GO:0008253,0.903623892299564,0.952048487753574,0.978199808061835,,,YES
F7G656,GO:0004303,0.908041521075931,0.954591161231208,0.978632267578535,,,YES
F7G9S0,GO:0043065,0.917082194772547,0.962340802059941,0.984984131026302,,,YES
F7GFB1,GO:0005544,0.901330941744889,0.939941502950225,0.965786194110012,,,YES
F7GHA8,GO:0005229,0.0251683613071414,0.053666549898102,0.0975706466586226,,,NOT
F7GVV8,GO:0005229,0.0247064319097946,0.051763059694502,0.0952474564754752,,,NOT
F7H5D3,GO:0045892,0.901799472070467,0.945790198264851,0.972440709710474,,,YES
F7H9J1,GO:0004672,0.905042589430377,0.95205671473559,0.975002832240136,,,YES
F7HA14,GO:0004415,0.0230457787415852,0.0513772252587779,0.0959143409649595,,,NOT
F7HEW6,GO:0060070,0.924918630506086,0.960744754406946,0.98138005202673,,,YES
F7HKJ8,GO:0001580,0.919819817819049,0.966313194918477,0.983068865087753,,,YES
F7HKJ8,GO:0033038,0.912361713889888,0.966622050430868,0.983976362825048,,,YES
F7HKW9,GO:0005615,0.0232670534574576,0.053097351433406,0.088680169275517,,,NOT
F7HKW9,GO:0016298,0.0262871782358559,0.0512661252504022,0.096000850789384,,,NOT
F7HNU4,GO:0000902,0.0235056941455336,0.0493552462743014,0.08518125754811,,,NOT
F7HQS3,GO:0005229,0.0247152757572497,0.0518762567145133,0.0955882294577158,,,NOT
F7HSW0,GO:0004867,0.941504188458558,0.974003646510526,0.987242605802405,,,YES
G1KUH0,GO:0004867,0.93329404333061,0.970512608736922,0.984996784501877,,,YES
G2HEC7,GO:0019005,0.913561776092293,0.960008810398764,0.98069512277569,,,YES
G3QD05,GO:0004683,0.933615811902143,0.966697021021671,0.984369951201825,,,YES
G3QDF4,GO:0004867,0.933812146647783,0.969440220467298,0.985169641807578,,,YES
